"File","Line","Text"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE.md","30","Toda observación relevante debe poder asociarse con un modelo que capture su contexto completo: fuente (API, WMI, etc.), método, timestamp, confianza y las transformaciones aplicadas. Esto es fundamental para cumplir el requisito de explicar la evidencia que sustenta cada hallazgo."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE.md","110","**Contexto:** el requisito `TECH-001` exige que todo el producto, incluida la interfaz de usuario, se implemente en Go. La decisión del framework estaba pendiente, bloqueando el trabajo en la capa de presentación (ver `WP-008`). Se necesita una solución que se integre con Go y se ejecute en Windows, sin introducir runtimes como JavaScript o .NET."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE_REFACTOR_REPORT.md","36","- El directorio `core/` y todo su contenido (`app.go`, `compensation.go`, `contracts.go`, `engine.go`, `ledger.go`, `signature.go`) han sido eliminados."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE_REFACTOR_REPORT.md","49","- **Dependencias Actualizadas:** Todos los `import` en los nuevos archivos han sido actualizados para reflejar la nueva estructura de paquetes (ej. `repairer/internal/contracts`)."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CHANGELOG.md","21","- Se han resuelto todos los errores de compilación del frontend, permitiendo que `npx tsc --noEmit` se ejecute limpiamente."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CHANGELOG.md","156","- Confirmada la arquitectura Go-only para todo el producto."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\COMPONENTS.md","5","Los componentes de este documento están `SPECIFIED` como responsabilidades arquitectónicas. Todos deben implementarse en Go, sin motores auxiliares en otros lenguajes. Esto no prueba la existencia de paquetes, procesos o ejecutables; el framework gráfico y las APIs concretas de Windows siguen sin verificarse."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONFORMANCE_MATRIX.md","20","| `TECH-001` | (Todo el proyecto) | Código base es Go | `go.mod` | `go.mod` | `VERIFIED` |"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\EVIDENCE.md","54","**Conclusión:** Todos los paquetes del proyecto compilan exitosamente."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\GOVERNANCE.md","55","Todo cambio material debe incluir:"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\MAP.md","98","La ubicación y los nombres son `PROPOSED`; todos los componentes deben implementarse en Go. El repositorio real será la autoridad para el mapa físico y la evidencia de cumplimiento."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\P0_EXECUTION_REPORT.md","83","**Conclusión:** **ÉXITO.** Se ha establecido una cobertura de pruebas significativa en los paquetes críticos, superando el 75% en todos ellos."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\README.md","31","Para verificar que todos los paquetes compilan correctamente, ejecute:"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md","24","**Conclusión:** **ÉXITO.** Todos los paquetes del proyecto, incluyendo `cmd/repairer` y todos los paquetes en `internal/`, compilan correctamente sin errores."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md","79","1.  **Consolidación de Contratos:** Se eliminaron todos los archivos `.go` del directorio raíz que contenían definiciones duplicadas de contratos (`RiskClass`, `LedgerRecord`, etc.). El paquete `internal/contracts` es ahora la única fuente de la verdad."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md","80","2.  **Limpieza de Archivos Obsoletos:** Se eliminaron todos los archivos de código Go del directorio raíz, incluyendo el `main.go` antiguo y otros archivos de lógica que fueron refactorizados. Esto resolvió todos los errores de compilación."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md","81","3.  **Auditoría de Imports:** Se verificó que ningún paquete `internal/` o `cmd/` importa rutas obsoletas como `repairer/core`. Todos los imports son consistentes con la nueva estructura."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md","93","- **Tamaño de Archivos:** Todos los archivos de código Go en la nueva estructura están por debajo del límite de 500 líneas, con la mayoría por debajo del objetivo de 300 líneas, mejorando la legibilidad y el mantenimiento."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REQUIREMENTS.md","8","- Todos los requisitos de esta versión están `SPECIFIED`, no `VERIFIED`."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REQUIREMENTS.md","150","| `TECH-001` | El producto DEBE implementarse íntegramente en Go. | Todo componente distribuido y todo punto de entrada operativo pertenecen al módulo o binarios Go aprobados. |"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SECURITY.md","114","Todo campo registrado debe responder a un propósito operativo o de seguridad. Por defecto:"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\signing.go","13","// It expects the hash to be in the format ""sha256:xxxxxxxx""."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\signing.go","26","// It expects the hash to be in the format ""sha256:xxxxxxxx""."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\WORK_PLAN.md","10","- **Objetivo:** Eliminar todos los artefactos no conformes de la aplicación web TypeScript para cumplir con `TECH-001`."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\sendemail-validate.sample","22","# Replace the TODO placeholders with appropriate checks according to your"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\sendemail-validate.sample","27","# TODO: Replace with appropriate checks (e.g. spell checking)."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\sendemail-validate.sample","35","# TODO: Replace with appropriate checks for this patch"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\sendemail-validate.sample","41","# TODO: Replace with appropriate checks for the whole series"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\sendemail-validate.sample","52","worktree=$(mktemp --tmpdir -d sendemail-validate.XXXXXXX) &&"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\app.go","13","// TODO: Add state for Windows diagnostics."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\app.go","24","// TODO: Load initial state, if any."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\app.go","44","// TODO: Replace this simulated output with real calls to Windows APIs (e.g., using golang.org/x/sys/windows/registry)."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\audit\AuditLogViewer.tsx","79","<option value=""ALL"">Todos los Tipos de Acción</option>"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\certification\E2ECertificationModal.tsx","139","{isRunningAll ? 'Validando 16 Pasos...' : 'Certificar Todo el Flujo (1-Click)'}"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\dashboard\ExecutiveDashboard.tsx","239","<ShieldCheck className=""w-3 h-3"" /> Todos los backups validados con hash SHA-256"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\orders\OrderLifecycleView.tsx","1268","<label className=""block text-slate-400 text-[11px] mb-1"">Método de Pago:</label>"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\orders\OrderList.tsx","122","<option value=""ALL"">Todos los Estados</option>"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\workbench\TechnicianWorkbench.tsx","42","// Si todo es válido, limpiar errores y notificar al sistema"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\data\seedData.ts","74","buildFingerprint: 'samsung/a54xxx/a54:14/UP1A.231005.007/A546EXXU4BXB2',"
