"File","Line","Pattern","Match"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\COMPONENTS.md","66","secret","- Los tokens son de vida corta, de un solo propósito y no contienen secretos reutilizables."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\COMPONENTS.md","119","secret","- Elimina secretos y minimiza datos personales."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\FINAL_IMPLEMENTATION_REPORT.md","110","secret","- **Protección de Clave Privada:** La clave privada está cifrada en reposo, pero el mecanismo de derivación de la clave de cifrado es básico. Se recomienda una integración con un gestor de secretos del sistema operativo."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REQUIREMENTS.md","65","secret","| `SEC-006` | Secretos, tokens, contenido privado y rutas innecesarias no DEBEN registrarse. | Pruebas de redacción cubren errores y logs. |"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SECURITY.md","21","secret","- credenciales, tokens y secretos accesibles al proceso;"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SECURITY.md","41","secret","| Fuga de información | Logs incluyen secretos o contenido privado | Minimización, redacción, permisos y retención. |"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SECURITY.md","87","secret","- credenciales o secretos;"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SITEMAP.md","87","secret","- Permitir copiar un ID de correlación sin exponer secretos."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\TESTING.md","88","secret","- ausencia de secretos en errores y logs."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\TESTING.md","110","secret","- secretos, tokens, contenido privado y rutas innecesarias redactados;"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\WORK_PLAN.md","13","secret","- 2. Se ha revisado `.env.local` en busca de secretos y se han rotado si es necesario. El archivo no se ha publicado."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator_test.go","25","passwd","target:        ""./backups/../../etc/passwd"","
